algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-accuracy,1-accuracy,race-accuracy,0-accuracy_over_1-accuracy,race-accuracyRatio,diff:1-accuracyto0-accuracy,race-accuracyDiff,0-accuracy,1-accuracy,sex-race-accuracy,0-accuracy_over_1-1-accuracy,1-accuracy_over_1-1-accuracy,sex-race-accuracyRatio,diff:1-1-accuracyto0-accuracy,diff:1-1-accuracyto1-accuracy,sex-race-accuracyDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TPR,1-TPR,race-TPR,0-TPR_over_1-TPR,race-TPRRatio,diff:1-TPRto0-TPR,race-TPRDiff,0-TPR,1-TPR,sex-race-TPR,0-TPR_over_1-1-TPR,1-TPR_over_1-1-TPR,sex-race-TPRRatio,diff:1-1-TPRto0-TPR,diff:1-1-TPRto1-TPR,sex-race-TPRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-TNR,1-TNR,race-TNR,0-TNR_over_1-TNR,race-TNRRatio,diff:1-TNRto0-TNR,race-TNRDiff,0-TNR,1-TNR,sex-race-TNR,0-TNR_over_1-1-TNR,1-TNR_over_1-1-TNR,sex-race-TNRRatio,diff:1-1-TNRto0-TNR,diff:1-1-TNRto1-TNR,sex-race-TNRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FPR,1-FPR,race-FPR,0-FPR_over_1-FPR,race-FPRRatio,diff:1-FPRto0-FPR,race-FPRDiff,0-FPR,1-FPR,sex-race-FPR,0-FPR_over_1-1-FPR,1-FPR_over_1-1-FPR,sex-race-FPRRatio,diff:1-1-FPRto0-FPR,diff:1-1-FPRto1-FPR,sex-race-FPRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-FNR,1-FNR,race-FNR,0-FNR_over_1-FNR,race-FNRRatio,diff:1-FNRto0-FNR,race-FNRDiff,0-FNR,1-FNR,sex-race-FNR,0-FNR_over_1-1-FNR,1-FNR_over_1-1-FNR,sex-race-FNRRatio,diff:1-1-FNRto0-FNR,diff:1-1-FNRto1-FNR,sex-race-FNRDiff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration+,1-calibration+,race-calibration+,0-calibration+_over_1-calibration+,race-calibration+Ratio,diff:1-calibration+to0-calibration+,race-calibration+Diff,0-calibration+,1-calibration+,sex-race-calibration+,0-calibration+_over_1-1-calibration+,1-calibration+_over_1-1-calibration+,sex-race-calibration+Ratio,diff:1-1-calibration+to0-calibration+,diff:1-1-calibration+to1-calibration+,sex-race-calibration+Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff,0-calibration-,1-calibration-,race-calibration-,0-calibration-_over_1-calibration-,race-calibration-Ratio,diff:1-calibration-to0-calibration-,race-calibration-Diff,0-calibration-,1-calibration-,sex-race-calibration-,0-calibration-_over_1-1-calibration-,1-calibration-_over_1-1-calibration-,sex-race-calibration-Ratio,diff:1-1-calibration-to0-calibration-,diff:1-1-calibration-to1-calibration-,sex-race-calibration-Diff
SVM,,0,0.8351783517835178,0.037037037037037035,0.9941002949852508,0.5155686660111439,0.1107423792083468,3.061224489795918,3.061224489795918,1.0091609977324263,0.8953488372093024,0.8190327613104524,0.8571907992598774,1.0931782945736435,1.0931782945736435,1.07631607589885,1.07631607589885,0.8138195777351248,0.8732876712328768,0.8435536244840007,0.9319032027398292,0.9319032027398292,0.940531906502248,0.940531906502248,0.826530612244898,0.8577777777777778,0.8421541950113378,None,None,1.0,None,None,1.0,0.0,0.0423728813559322,0.0211864406779661,0.0,1.0,0.9576271186440678,0.9576271186440678,0.050505050505050504,0.0,0.025252525252525252,0.0,1.0,1.0505050505050506,1.0505050505050506,0.04807692307692308,0.0,0.02403846153846154,None,None,1.0,None,None,1.0,0.9935483870967742,0.994263862332696,0.9939061247147352,0.9992803970223324,0.9992803970223324,0.9992845247640781,0.9992845247640781,0.9928909952606635,0.99609375,0.9944923726303317,0.9967846854381562,0.9967846854381562,0.9967972452606635,0.9967972452606635,0.993801652892562,0.9948453608247423,0.9943235068586521,None,None,1.0,None,None,1.0,0.006451612903225823,0.005736137667303964,0.006093875285264894,1.1247311827957118,1.1247311827957118,1.0007154752359217,1.0007154752359217,0.007109004739336511,0.00390625,0.005507627369668255,1.8199052132701468,1.8199052132701468,1.0032027547393365,1.0032027547393365,0.006198347107438051,0.005154639175257714,0.0056764931413478825,None,None,1.0,None,None,1.0,1.0,0.9576271186440678,0.978813559322034,1.0442477876106195,1.0442477876106195,1.042372881355932,1.042372881355932,0.9494949494949495,1.0,0.9747474747474747,0.9494949494949495,0.9494949494949495,0.9494949494949495,0.9494949494949495,0.9519230769230769,1.0,0.9759615384615384,None,None,1.0,None,None,1.0,0.0,0.625,0.3125,0.0,1.0,0.375,0.375,0.625,0.0,0.3125,0.0,1.0,1.625,1.625,0.625,0.0,0.3125,None,None,1.0,None,None,1.0,0.09941520467836257,0.17851500789889416,0.13896510628862835,0.5569011023133054,0.5569011023133054,0.9209001967794684,0.9209001967794684,0.18323586744639375,0.12371134020618557,0.15347360382628966,1.4811565951916827,1.4811565951916827,1.059524527240208,1.059524527240208,0.1706896551724138,0.13839285714285715,0.15454125615763548,None,None,1.0,None,None,1.0
SVM,,1,0.8376383763837638,0.02962962962962963,0.9985250737463127,0.5140773516879712,0.13401148040798386,0.0,1.0,1.0085034013605443,0.9011627906976745,0.8205928237129485,0.8608778072053115,1.0981850738349987,1.0981850738349987,1.080569966984726,1.080569966984726,0.8157389635316699,0.8767123287671232,0.8462256461493965,0.930452255278311,0.930452255278311,0.9390266347645466,0.9390266347645466,0.8282312925170068,0.8622222222222222,0.8452267573696145,None,None,1.0,None,None,1.0,0.0,0.03389830508474576,0.01694915254237288,0.0,1.0,0.9661016949152542,0.9661016949152542,0.04040404040404041,0.0,0.020202020202020204,0.0,1.0,1.0404040404040404,1.0404040404040404,0.038461538461538464,0.0,0.019230769230769232,None,None,1.0,None,None,1.0,1.0,0.9980879541108987,0.9990439770554493,1.0019157088122606,1.0019157088122606,1.0019120458891013,1.0019120458891013,0.9976303317535545,1.0,0.9988151658767772,0.9976303317535545,0.9976303317535545,0.9976303317535545,0.9976303317535545,0.9979338842975206,1.0,0.9989669421487604,None,None,1.0,None,None,1.0,0.0,0.0019120458891013214,0.0009560229445506607,0.0,1.0,0.9980879541108987,0.9980879541108987,0.0023696682464454666,0.0,0.0011848341232227333,0.0,1.0,1.0023696682464456,1.0023696682464456,0.0020661157024793875,0.0,0.0010330578512396937,None,None,1.0,None,None,1.0,1.0,0.9661016949152542,0.9830508474576272,1.0350877192982457,1.0350877192982457,1.0338983050847457,1.0338983050847457,0.9595959595959596,1.0,0.9797979797979798,0.9595959595959596,0.9595959595959596,0.9595959595959596,0.9595959595959596,0.9615384615384616,1.0,0.9807692307692308,None,None,1.0,None,None,1.0,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.8,1.0,0.9,0.8,0.8,0.8,0.8,0.8,1.0,0.9,None,None,1.0,None,None,1.0,0.09883720930232558,0.1792452830188679,0.13904124616059674,0.5514075887392901,0.5514075887392901,0.9195919262834577,0.9195919262834577,0.18410852713178294,0.1232876712328767,0.15369809918232982,1.4933247200689062,1.4933247200689062,1.0608208558989063,1.0608208558989063,0.17152658662092624,0.13777777777777778,0.154652182199352,None,None,1.0,None,None,1.0
SVM,,2,0.8364083640836408,0.022222222222222223,0.9985250737463127,0.5103736479842674,0.11034152376967848,0.0,1.0,1.0068027210884354,0.9011627906976745,0.8190327613104524,0.8600977760040635,1.1002768549280177,1.1002768549280177,1.082130029387222,1.082130029387222,0.8138195777351248,0.8767123287671232,0.845265953251124,0.9282629558541268,0.9282629558541268,0.9371072489680016,0.9371072489680016,0.826530612244898,0.8622222222222222,0.8443764172335602,None,None,1.0,None,None,1.0,0.0,0.025423728813559324,0.012711864406779662,0.0,1.0,0.9745762711864406,0.9745762711864406,0.030303030303030304,0.0,0.015151515151515152,0.0,1.0,1.0303030303030303,1.0303030303030303,0.028846153846153848,0.0,0.014423076923076924,None,None,1.0,None,None,1.0,1.0,0.9980879541108987,0.9990439770554493,1.0019157088122606,1.0019157088122606,1.0019120458891013,1.0019120458891013,0.9976303317535545,1.0,0.9988151658767772,0.9976303317535545,0.9976303317535545,0.9976303317535545,0.9976303317535545,0.9979338842975206,1.0,0.9989669421487604,None,None,1.0,None,None,1.0,0.0,0.0019120458891013214,0.0009560229445506607,0.0,1.0,0.9980879541108987,0.9980879541108987,0.0023696682464454666,0.0,0.0011848341232227333,0.0,1.0,1.0023696682464456,1.0023696682464456,0.0020661157024793875,0.0,0.0010330578512396937,None,None,1.0,None,None,1.0,1.0,0.9745762711864406,0.9872881355932204,1.0260869565217392,1.0260869565217392,1.0254237288135593,1.0254237288135593,0.9696969696969697,1.0,0.9848484848484849,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9711538461538461,1.0,0.9855769230769231,None,None,1.0,None,None,1.0,1.0,0.75,0.875,1.3333333333333333,1.3333333333333333,1.25,1.25,0.75,1.0,0.875,0.75,0.75,0.75,0.75,0.75,1.0,0.875,None,None,1.0,None,None,1.0,0.09883720930232558,0.18053375196232338,0.13968548063232447,0.5474721941354904,0.5474721941354904,0.9183034573400022,0.9183034573400022,0.18568665377176016,0.1232876712328767,0.15448716250231842,1.5061250805931659,1.5061250805931659,1.0623989825388835,1.0623989825388835,0.17294520547945205,0.13777777777777778,0.1553614916286149,None,None,1.0,None,None,1.0
SVM,,3,0.8388683886838868,0.044444444444444446,0.9970501474926253,0.5207472959685349,0.15643369211101263,0.0,1.0,1.0136054421768708,0.8953488372093024,0.8237129485179407,0.8595308928636216,1.0869670542635659,1.0869670542635659,1.0716358886913615,1.0716358886913615,0.817658349328215,0.8767123287671232,0.8471853390476691,0.9326415547024953,0.9326415547024953,0.9409460205610918,0.9409460205610918,0.8299319727891157,0.8622222222222222,0.846077097505669,None,None,1.0,None,None,1.0,0.0,0.05084745762711865,0.025423728813559324,0.0,1.0,0.9491525423728814,0.9491525423728814,0.06060606060606061,0.0,0.030303030303030304,0.0,1.0,1.0606060606060606,1.0606060606060606,0.057692307692307696,0.0,0.028846153846153848,None,None,1.0,None,None,1.0,0.9935483870967742,0.9980879541108987,0.9958181706038365,0.9954517364973426,0.9954517364973426,0.9954604329858755,0.9954604329858755,0.995260663507109,1.0,0.9976303317535544,0.995260663507109,0.995260663507109,0.995260663507109,0.995260663507109,0.9958677685950413,1.0,0.9979338842975207,None,None,1.0,None,None,1.0,0.006451612903225823,0.0019120458891013214,0.004181829396163572,3.3741935483871353,3.3741935483871353,1.0045395670141244,1.0045395670141244,0.004739336492891044,0.0,0.002369668246445522,0.0,1.0,1.0047393364928912,1.0047393364928912,0.004132231404958664,0.0,0.002066115702479332,None,None,1.0,None,None,1.0,1.0,0.9491525423728814,0.9745762711864407,1.0535714285714286,1.0535714285714286,1.0508474576271185,1.0508474576271185,0.9393939393939394,1.0,0.9696969696969697,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9423076923076923,1.0,0.9711538461538461,None,None,1.0,None,None,1.0,0.0,0.8571428571428571,0.42857142857142855,0.0,1.0,0.1428571428571429,0.1428571428571429,0.75,1.0,0.875,0.75,0.75,0.75,0.75,0.75,1.0,0.875,None,None,1.0,None,None,1.0,0.09941520467836257,0.17665615141955837,0.13803567804896047,0.5627610693400167,0.5627610693400167,0.9227590532588041,0.9227590532588041,0.18128654970760233,0.1232876712328767,0.15228711047023952,1.47043534762833,1.47043534762833,1.0579988784747256,1.0579988784747256,0.16896551724137931,0.13777777777777778,0.15337164750957855,None,None,1.0,None,None,1.0
SVM,,4,0.8351783517835178,0.022222222222222223,0.9970501474926253,0.5096361848574238,0.09173312046553495,0.0,1.0,1.0085034013605443,0.9011627906976745,0.8174726989079563,0.8593177448028153,1.1023766199183385,1.1023766199183385,1.0836900917897183,1.0836900917897183,0.8119001919385797,0.8767123287671232,0.8443062603528515,0.9260736564299424,0.9260736564299424,0.9351878631714564,0.9351878631714564,0.8248299319727891,0.8622222222222222,0.8435260770975057,None,None,1.0,None,None,1.0,0.0,0.025423728813559324,0.012711864406779662,0.0,1.0,0.9745762711864406,0.9745762711864406,0.030303030303030304,0.0,0.015151515151515152,0.0,1.0,1.0303030303030303,1.0303030303030303,0.028846153846153848,0.0,0.014423076923076924,None,None,1.0,None,None,1.0,1.0,0.9961759082217974,0.9980879541108987,1.00383877159309,1.00383877159309,1.0038240917782026,1.0038240917782026,0.995260663507109,1.0,0.9976303317535544,0.995260663507109,0.995260663507109,0.995260663507109,0.995260663507109,0.9958677685950413,1.0,0.9979338842975207,None,None,1.0,None,None,1.0,0.0,0.003824091778202643,0.0019120458891013214,0.0,1.0,0.9961759082217974,0.9961759082217974,0.004739336492891044,0.0,0.002369668246445522,0.0,1.0,1.0047393364928912,1.0047393364928912,0.004132231404958664,0.0,0.002066115702479332,None,None,1.0,None,None,1.0,1.0,0.9745762711864406,0.9872881355932204,1.0260869565217392,1.0260869565217392,1.0254237288135593,1.0254237288135593,0.9696969696969697,1.0,0.9848484848484849,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9711538461538461,1.0,0.9855769230769231,None,None,1.0,None,None,1.0,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.6,1.0,0.8,0.6,0.6,0.6,0.6,0.6,1.0,0.8,None,None,1.0,None,None,1.0,0.09883720930232558,0.18081761006289307,0.13982740968260932,0.5466127401415571,0.5466127401415571,0.9180195992394325,0.9180195992394325,0.18604651162790697,0.1232876712328767,0.15466709143039184,1.509043927648579,1.509043927648579,1.0627588403950303,1.0627588403950303,0.1732418524871355,0.13777777777777778,0.15550981513245665,None,None,1.0,None,None,1.0
SVM,,5,0.8388683886838868,0.02962962962962963,1.0,0.5148148148148148,0.15758094389856137,0.0,1.0,1.0068027210884354,0.9011627906976745,0.8221528861154446,0.8616578384065595,1.0961012311901506,1.0961012311901506,1.07900990458223,1.07900990458223,0.817658349328215,0.8767123287671232,0.8471853390476691,0.9326415547024953,0.9326415547024953,0.9409460205610918,0.9409460205610918,0.8299319727891157,0.8622222222222222,0.846077097505669,None,None,1.0,None,None,1.0,0.0,0.03389830508474576,0.01694915254237288,0.0,1.0,0.9661016949152542,0.9661016949152542,0.04040404040404041,0.0,0.020202020202020204,0.0,1.0,1.0404040404040404,1.0404040404040404,0.038461538461538464,0.0,0.019230769230769232,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.9661016949152542,0.9830508474576272,1.0350877192982457,1.0350877192982457,1.0338983050847457,1.0338983050847457,0.9595959595959596,1.0,0.9797979797979798,0.9595959595959596,0.9595959595959596,0.9595959595959596,0.9595959595959596,0.9615384615384616,1.0,0.9807692307692308,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.09883720930232558,0.17896389324960754,0.13890055127596657,0.5522745818033455,0.5522745818033455,0.919873316052718,0.919873316052718,0.18375241779497098,0.1232876712328767,0.15352004451392384,1.4904362776703202,1.4904362776703202,1.0604647465620942,1.0604647465620942,0.17123287671232876,0.13777777777777778,0.15450532724505328,None,None,1.0,None,None,1.0
SVM,,6,0.8277982779827798,0.007407407407407408,0.9911504424778761,0.49927892494264176,-0.005808656022045789,2.2959183673469385,2.2959183673469385,1.0057596371882087,0.9011627906976745,0.8081123244929798,0.8546375575953271,1.1151454610756937,1.1151454610756937,1.0930504662046947,1.0930504662046947,0.8023032629558541,0.8732876712328768,0.8377954670943655,0.9187158932670956,0.9187158932670956,0.9290155917229773,0.9290155917229773,0.8163265306122449,0.8577777777777778,0.8370521541950113,None,None,1.0,None,None,1.0,0.0,0.00847457627118644,0.00423728813559322,0.0,1.0,0.9915254237288136,0.9915254237288136,0.010101010101010102,0.0,0.005050505050505051,0.0,1.0,1.0101010101010102,1.0101010101010102,0.009615384615384616,0.0,0.004807692307692308,None,None,1.0,None,None,1.0,1.0,0.988527724665392,0.994263862332696,1.011605415860735,1.011605415860735,1.011472275334608,1.011472275334608,0.9881516587677726,0.99609375,0.9921227043838863,0.9920267633119599,0.9920267633119599,0.9920579087677726,0.9920579087677726,0.9896694214876033,0.9948453608247423,0.9922573911561727,None,None,1.0,None,None,1.0,0.0,0.01147227533460804,0.00573613766730402,0.0,1.0,0.988527724665392,0.988527724665392,0.011848341232227444,0.00390625,0.007877295616113722,3.0331753554502257,3.0331753554502257,1.0079420912322274,1.0079420912322274,0.010330578512396715,0.005154639175257714,0.0077426088438272145,None,None,1.0,None,None,1.0,1.0,0.9915254237288136,0.9957627118644068,1.0085470085470085,1.0085470085470085,1.0084745762711864,1.0084745762711864,0.98989898989899,1.0,0.994949494949495,0.98989898989899,0.98989898989899,0.98989898989899,0.98989898989899,0.9903846153846154,1.0,0.9951923076923077,None,None,1.0,None,None,1.0,1.0,0.14285714285714285,0.5714285714285714,7.0,7.0,1.8571428571428572,1.8571428571428572,0.16666666666666666,0.0,0.08333333333333333,0.0,1.0,1.1666666666666667,1.1666666666666667,0.16666666666666666,0.0,0.08333333333333333,None,None,1.0,None,None,1.0,0.09883720930232558,0.18454258675078863,0.1416898980265571,0.535579407672431,0.535579407672431,0.9142946225515369,0.9142946225515369,0.19029126213592232,0.12371134020618557,0.15700130117105393,1.538187702265372,1.538187702265372,1.0665799219297367,1.0665799219297367,0.17697594501718214,0.13839285714285715,0.15768440108001963,None,None,1.0,None,None,1.0
SVM,,7,0.8364083640836408,0.022222222222222223,0.9985250737463127,0.5103736479842674,0.11034152376967848,0.0,1.0,1.0068027210884354,0.9011627906976745,0.8190327613104524,0.8600977760040635,1.1002768549280177,1.1002768549280177,1.082130029387222,1.082130029387222,0.8138195777351248,0.8767123287671232,0.845265953251124,0.9282629558541268,0.9282629558541268,0.9371072489680016,0.9371072489680016,0.826530612244898,0.8622222222222222,0.8443764172335602,None,None,1.0,None,None,1.0,0.0,0.025423728813559324,0.012711864406779662,0.0,1.0,0.9745762711864406,0.9745762711864406,0.030303030303030304,0.0,0.015151515151515152,0.0,1.0,1.0303030303030303,1.0303030303030303,0.028846153846153848,0.0,0.014423076923076924,None,None,1.0,None,None,1.0,1.0,0.9980879541108987,0.9990439770554493,1.0019157088122606,1.0019157088122606,1.0019120458891013,1.0019120458891013,0.9976303317535545,1.0,0.9988151658767772,0.9976303317535545,0.9976303317535545,0.9976303317535545,0.9976303317535545,0.9979338842975206,1.0,0.9989669421487604,None,None,1.0,None,None,1.0,0.0,0.0019120458891013214,0.0009560229445506607,0.0,1.0,0.9980879541108987,0.9980879541108987,0.0023696682464454666,0.0,0.0011848341232227333,0.0,1.0,1.0023696682464456,1.0023696682464456,0.0020661157024793875,0.0,0.0010330578512396937,None,None,1.0,None,None,1.0,1.0,0.9745762711864406,0.9872881355932204,1.0260869565217392,1.0260869565217392,1.0254237288135593,1.0254237288135593,0.9696969696969697,1.0,0.9848484848484849,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9711538461538461,1.0,0.9855769230769231,None,None,1.0,None,None,1.0,1.0,0.75,0.875,1.3333333333333333,1.3333333333333333,1.25,1.25,0.75,1.0,0.875,0.75,0.75,0.75,0.75,0.75,1.0,0.875,None,None,1.0,None,None,1.0,0.09883720930232558,0.18053375196232338,0.13968548063232447,0.5474721941354904,0.5474721941354904,0.9183034573400022,0.9183034573400022,0.18568665377176016,0.1232876712328767,0.15448716250231842,1.5061250805931659,1.5061250805931659,1.0623989825388835,1.0623989825388835,0.17294520547945205,0.13777777777777778,0.1553614916286149,None,None,1.0,None,None,1.0
SVM,,8,0.8376383763837638,0.022222222222222223,1.0,0.5111111111111111,0.1363848343668294,0.0,1.0,1.0051020408163265,0.9011627906976745,0.8205928237129485,0.8608778072053115,1.0981850738349987,1.0981850738349987,1.080569966984726,1.080569966984726,0.8157389635316699,0.8767123287671232,0.8462256461493965,0.930452255278311,0.930452255278311,0.9390266347645466,0.9390266347645466,0.8282312925170068,0.8622222222222222,0.8452267573696145,None,None,1.0,None,None,1.0,0.0,0.025423728813559324,0.012711864406779662,0.0,1.0,0.9745762711864406,0.9745762711864406,0.030303030303030304,0.0,0.015151515151515152,0.0,1.0,1.0303030303030303,1.0303030303030303,0.028846153846153848,0.0,0.014423076923076924,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,0.9745762711864406,0.9872881355932204,1.0260869565217392,1.0260869565217392,1.0254237288135593,1.0254237288135593,0.9696969696969697,1.0,0.9848484848484849,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9711538461538461,1.0,0.9855769230769231,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.09883720930232558,0.18025078369905956,0.13954399650069257,0.5483316481294236,0.5483316481294236,0.918586425603266,0.918586425603266,0.18532818532818532,0.1232876712328767,0.15430792828053103,1.5032175032175032,1.5032175032175032,1.0620405140953086,1.0620405140953086,0.17264957264957265,0.13777777777777778,0.1552136752136752,None,None,1.0,None,None,1.0
SVM,,9,0.8351783517835178,0.022222222222222223,0.9970501474926253,0.5096361848574238,0.09173312046553495,0.0,1.0,1.0085034013605443,0.9011627906976745,0.8174726989079563,0.8593177448028153,1.1023766199183385,1.1023766199183385,1.0836900917897183,1.0836900917897183,0.8119001919385797,0.8767123287671232,0.8443062603528515,0.9260736564299424,0.9260736564299424,0.9351878631714564,0.9351878631714564,0.8248299319727891,0.8622222222222222,0.8435260770975057,None,None,1.0,None,None,1.0,0.0,0.025423728813559324,0.012711864406779662,0.0,1.0,0.9745762711864406,0.9745762711864406,0.030303030303030304,0.0,0.015151515151515152,0.0,1.0,1.0303030303030303,1.0303030303030303,0.028846153846153848,0.0,0.014423076923076924,None,None,1.0,None,None,1.0,1.0,0.9961759082217974,0.9980879541108987,1.00383877159309,1.00383877159309,1.0038240917782026,1.0038240917782026,0.995260663507109,1.0,0.9976303317535544,0.995260663507109,0.995260663507109,0.995260663507109,0.995260663507109,0.9958677685950413,1.0,0.9979338842975207,None,None,1.0,None,None,1.0,0.0,0.003824091778202643,0.0019120458891013214,0.0,1.0,0.9961759082217974,0.9961759082217974,0.004739336492891044,0.0,0.002369668246445522,0.0,1.0,1.0047393364928912,1.0047393364928912,0.004132231404958664,0.0,0.002066115702479332,None,None,1.0,None,None,1.0,1.0,0.9745762711864406,0.9872881355932204,1.0260869565217392,1.0260869565217392,1.0254237288135593,1.0254237288135593,0.9696969696969697,1.0,0.9848484848484849,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9711538461538461,1.0,0.9855769230769231,None,None,1.0,None,None,1.0,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.6,1.0,0.8,0.6,0.6,0.6,0.6,0.6,1.0,0.8,None,None,1.0,None,None,1.0,0.09883720930232558,0.18081761006289307,0.13982740968260932,0.5466127401415571,0.5466127401415571,0.9180195992394325,0.9180195992394325,0.18604651162790697,0.1232876712328767,0.15466709143039184,1.509043927648579,1.509043927648579,1.0627588403950303,1.0627588403950303,0.1732418524871355,0.13777777777777778,0.15550981513245665,None,None,1.0,None,None,1.0
