Algorithm name,trial,data type,baseline DI Binary,post-alg DI Binary,baseline DI avg all,post-alg DI avg all,baseline CV,post-alg CV
SVM,0,numerical-binsensitive,0.5555555555555556,0.7954545454545455,0.5555555555555556,0.7954545454545455,0.7333333333333334,0.8500000000000001
SVM,0,numerical,0.5555555555555556,0.7954545454545455,0.5555555555555556,0.7954545454545454,0.7333333333333334,0.8500000000000001
SVM,1,numerical-binsensitive,0.5555555555555556,0.8333333333333333,0.5555555555555556,0.8333333333333333,0.7333333333333334,0.9333333333333333
SVM,1,numerical,0.5555555555555556,0.8333333333333333,0.5555555555555556,0.8333333333333333,0.7333333333333334,0.9333333333333333
SVM,2,numerical-binsensitive,0.5555555555555556,0.625,0.5555555555555556,0.625,0.7333333333333334,0.85
SVM,2,numerical,0.5555555555555556,0.625,0.5555555555555556,0.625,0.7333333333333334,0.85
SVM,3,numerical-binsensitive,0.5555555555555556,1.0,0.5555555555555556,1.0,0.7333333333333334,1.0
SVM,3,numerical,0.5555555555555556,1.0,0.5555555555555556,1.0,0.7333333333333334,1.0
SVM,4,numerical-binsensitive,0.5555555555555556,1.25,0.5555555555555556,1.25,0.7333333333333334,1.0666666666666667
SVM,4,numerical,0.5555555555555556,1.25,0.5555555555555556,1.25,0.7333333333333334,1.0666666666666667
SVM,5,numerical-binsensitive,0.5555555555555556,0.46875,0.5555555555555556,0.46875,0.7333333333333334,0.7166666666666667
SVM,5,numerical,0.5555555555555556,0.46875,0.5555555555555556,0.46875,0.7333333333333334,0.7166666666666667
SVM,6,numerical-binsensitive,0.5555555555555556,0.75,0.5555555555555556,0.75,0.7333333333333334,0.8333333333333334
SVM,6,numerical,0.5555555555555556,0.75,0.5555555555555556,0.75,0.7333333333333334,0.8333333333333334
SVM,7,numerical-binsensitive,0.5555555555555556,0.7142857142857142,0.5555555555555556,0.7142857142857142,0.7333333333333334,0.8666666666666667
SVM,7,numerical,0.5555555555555556,0.7142857142857142,0.5555555555555556,0.7142857142857142,0.7333333333333334,0.8666666666666667
SVM,8,numerical-binsensitive,0.5555555555555556,0.5357142857142857,0.5555555555555556,0.5357142857142857,0.7333333333333334,0.7833333333333333
SVM,8,numerical,0.5555555555555556,0.5357142857142857,0.5555555555555556,0.5357142857142856,0.7333333333333334,0.7833333333333333
SVM,9,numerical-binsensitive,0.5555555555555556,0.7142857142857142,0.5555555555555556,0.7142857142857142,0.7333333333333334,0.8666666666666667
SVM,9,numerical,0.5555555555555556,0.7142857142857142,0.5555555555555556,0.7142857142857142,0.7333333333333334,0.8666666666666667
GaussianNB,0,numerical-binsensitive,0.5555555555555556,0.6250000000000001,0.5555555555555556,0.6250000000000001,0.7333333333333334,0.75
GaussianNB,0,numerical,0.5555555555555556,0.6250000000000001,0.5555555555555556,0.625,0.7333333333333334,0.75
GaussianNB,1,numerical-binsensitive,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
GaussianNB,1,numerical,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
GaussianNB,2,numerical-binsensitive,0.5555555555555556,0.4166666666666667,0.5555555555555556,0.4166666666666667,0.7333333333333334,0.65
GaussianNB,2,numerical,0.5555555555555556,0.4166666666666667,0.5555555555555556,0.4166666666666667,0.7333333333333334,0.65
GaussianNB,3,numerical-binsensitive,0.5555555555555556,0.6250000000000001,0.5555555555555556,0.6250000000000001,0.7333333333333334,0.75
GaussianNB,3,numerical,0.5555555555555556,0.6250000000000001,0.5555555555555556,0.625,0.7333333333333334,0.75
GaussianNB,4,numerical-binsensitive,0.5555555555555556,0.625,0.5555555555555556,0.625,0.7333333333333334,0.8
GaussianNB,4,numerical,0.5555555555555556,0.625,0.5555555555555556,0.625,0.7333333333333334,0.8
GaussianNB,5,numerical-binsensitive,0.5555555555555556,0.5,0.5555555555555556,0.5,0.7333333333333334,0.6666666666666667
GaussianNB,5,numerical,0.5555555555555556,0.5,0.5555555555555556,0.5,0.7333333333333334,0.6666666666666667
GaussianNB,6,numerical-binsensitive,0.5555555555555556,0.45454545454545453,0.5555555555555556,0.45454545454545453,0.7333333333333334,0.6000000000000001
GaussianNB,6,numerical,0.5555555555555556,0.45454545454545453,0.5555555555555556,0.45454545454545453,0.7333333333333334,0.6000000000000001
GaussianNB,7,numerical-binsensitive,0.5555555555555556,0.45454545454545453,0.5555555555555556,0.45454545454545453,0.7333333333333334,0.6000000000000001
GaussianNB,7,numerical,0.5555555555555556,0.45454545454545453,0.5555555555555556,0.45454545454545453,0.7333333333333334,0.6000000000000001
GaussianNB,8,numerical-binsensitive,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
GaussianNB,8,numerical,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
GaussianNB,9,numerical-binsensitive,0.5555555555555556,0.6944444444444445,0.5555555555555556,0.6944444444444445,0.7333333333333334,0.8166666666666667
GaussianNB,9,numerical,0.5555555555555556,0.6944444444444445,0.5555555555555556,0.6944444444444444,0.7333333333333334,0.8166666666666667
LR,0,numerical-binsensitive,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
LR,0,numerical,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
LR,1,numerical-binsensitive,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7333333333333334,0.7333333333333334
